Date,y,state,p_Low Vol,p_Mid Vol,p_High Vol
2019-12-09,-2.325281938644732,0,0.6331622669811123,0.23631415343355977,0.1305235795853362
2019-12-10,-2.4038855377581325,1,0.3323349049579022,0.4834604229829643,0.1842046720591332
2019-12-11,-2.3990695285521477,2,0.16811767444870535,0.2265869064294878,0.6052954191218253
2019-12-12,-2.3188186657155065,2,0.052177874770660784,0.16669023392976653,0.7811318912995606
2019-12-13,-2.3483207534728687,2,0.04451004029510948,0.46620547097155923,0.4892844887333087
2019-12-16,-2.486835603880727,1,0.12483523791395847,0.5676094750518025,0.3075552870342538
2019-12-17,-2.696665372325482,1,0.07071686074759694,0.551851943356304,0.3774311958960862
2019-12-18,-2.705199979363591,1,0.15884880765156906,0.6686606842136186,0.17249050813480624
2019-12-19,-2.701591748134458,1,0.187039247109325,0.5460397740046616,0.2669209788859934
2019-12-20,-2.834968854675638,0,0.6229406112039885,0.37552263445892126,0.0015367543370955565
2019-12-23,-2.9588041825915377,1,0.09259163606576504,0.907320208016994,8.815591722123994e-05
2019-12-24,-2.9948012803201043,1,0.001185868071303431,0.9988140702187007,6.171001976749632e-08
2019-12-26,-2.9543792359954213,1,0.032744505165453276,0.9667697126249404,0.0004857822096316331
2019-12-27,-3.1715692046302,1,0.011385765637622973,0.9884903099415021,0.00012392442085221506
2019-12-30,-2.885948125905215,1,0.324620306923712,0.6642641248388916,0.011115568237379182
2019-12-31,-3.0589531532487313,1,0.2365439510770644,0.7547307730248232,0.008725275898138676
2020-01-02,-2.7579968199171123,1,0.35038287969316895,0.5303725366102645,0.11924458369656532
2020-01-03,-2.543136337553088,1,0.4274531720608113,0.4996544566534937,0.07289237128569245
2020-01-06,-2.547104292248431,0,0.7359625657711552,0.19074328995580905,0.07329414427303389
2020-01-07,-2.5225746404626923,0,0.7277845951984961,0.22886619536107664,0.043349209440418514
2020-01-08,-2.4813334606522064,0,0.6826878315835327,0.2709918825304596,0.04632028588601622
2020-01-09,-2.4287856503076304,0,0.8170450671230644,0.0955339023443308,0.08742103053260106
2020-01-10,-2.4273121797933785,0,0.4395780488385613,0.32373200113666556,0.23668995002475082
2020-01-13,-2.376547585779426,1,0.20194967929125396,0.57119264527261,0.22685767543616137
2020-01-14,-2.4505186579631735,1,0.1398669691280246,0.6522259064065062,0.20790712446546136
2020-01-15,-2.4507641763061954,1,0.057316628275682575,0.6058124663360444,0.3368709053882555
2020-01-16,-2.4781191001616896,1,0.0796490512154884,0.5352332249851798,0.3851177237993478
2020-01-17,-2.7287234020411684,2,0.0001534501359185807,0.3384825407345362,0.6613640091295547
2020-01-21,-2.6680341802401992,2,0.015333015991989789,0.4263255712668489,0.5583414127411591
2020-01-22,-2.7382008818008843,1,0.3801967430873486,0.5663679218661793,0.053435335046499804
2020-01-23,-2.761218937802467,0,0.503081959288373,0.4805446781568969,0.016373362554737477
2020-01-24,-2.5408398750315175,1,0.4183213992328802,0.547890350194191,0.033788250572945065
2020-01-27,-2.1609085835953374,1,0.2995461143451666,0.4321360908756195,0.2683177947791857
2020-01-28,-2.0964063404517264,1,0.31619937145467764,0.3875826862133421,0.29621794233199233
2020-01-29,-2.0975581584302994,0,0.7946870185980133,0.00849908075828697,0.19681390064371937
2020-01-30,-2.092193763262698,0,0.689280239138228,0.0012812679946532643,0.30943849286709557
2020-01-31,-1.9437098132598671,0,0.6230415081425763,0.13974392270307848,0.237214569154334
2020-02-03,-1.8996370898027093,0,0.5063834067128855,0.2634647505794413,0.23015184270769365
2020-02-04,-1.7507427928529196,1,0.21375590231243474,0.48662382607581406,0.29962027161175314
2020-02-05,-1.6919684445513241,1,0.1663395438172973,0.4618781746923784,0.3717822814903319
2020-02-06,-1.6889003598086638,2,0.19133369408381862,0.36521034708037586,0.4434559588358207
2020-02-07,-1.7130236996902788,1,0.1779610535679414,0.4305471406747971,0.3914918057572426
2020-02-10,-1.8685701902664273,1,0.10684678133440768,0.5418041870210902,0.35134903164451975
2020-02-11,-1.901458472259661,1,0.014914237169264493,0.5554340967002304,0.42965166613051226
2020-02-12,-1.9023037078675362,2,0.029519207072242388,0.07942151847195827,0.8910592744558078
2020-02-13,-1.8918439218883618,2,0.004196842141031337,0.07820001327214096,0.9176031445868418
2020-02-14,-2.347156647206701,1,0.11363519196585804,0.5854978841796847,0.30086692385444513
2020-02-18,-2.2920851769454886,2,0.03546265558433869,0.16995777586248115,0.7945795685532018
2020-02-19,-2.529179420858031,0,0.47157587142858665,0.338385000578033,0.19003912799339126
2020-02-20,-2.660560590526468,0,0.6825945842360264,0.24260826454662804,0.07479715121732071
2020-02-21,-2.4152182105010445,1,0.1372043891959592,0.5669594481597753,0.2958361626442726
2020-02-24,-1.6546552375155834,2,0.004498776883838257,0.0005305670750890926,0.9949706560410624
2020-02-25,-1.4877441484412273,2,0.1965131341602688,0.2780319380308445,0.5254549278089092
2020-02-26,-1.5062229353066205,1,0.21833051537111703,0.4365049682389675,0.34516451638990486
2020-02-27,-1.2761640658105444,1,0.1154206740561594,0.718674974735543,0.16590435120830718
2020-02-28,-1.2877129475859375,1,0.3319445769638271,0.5248426934416766,0.1432127295944732
2020-03-02,-0.9446074078108828,1,0.1474158145473286,0.821593603833109,0.030990581619579308
2020-03-03,-0.917562255971211,1,0.027973591582262054,0.9517079988036029,0.02031840961411802
2020-03-04,-0.7433973644589131,1,0.003345301038254871,0.995844390058346,0.0008103089034190474
2020-03-05,-0.7091261581828172,1,0.005106970801556714,0.986395897173618,0.008497132024850307
2020-03-06,-0.7073787939532326,1,0.003596588262616332,0.9565275534412618,0.03987585829612935
2020-03-09,-0.5115733119008173,1,0.05244568154425026,0.9359716505885881,0.01158266786716611
2020-03-10,-0.3889392350275542,0,0.6794080143836092,0.30723062756477504,0.013361358051608326
2020-03-11,-0.3445551188080753,0,0.6057737079408694,0.37819677495492043,0.016029517104215286
2020-03-12,-0.19363299240989884,1,0.4336766562898345,0.5651216463601043,0.0012016973500760804
2020-03-13,-0.03431039473353178,0,0.5284775821709212,0.4712176767543767,0.00030474107471115835
2020-03-16,0.0498020089617714,0,0.9601153133615904,0.03816633619759762,0.0017183504408118265
2020-03-17,0.11389119592431687,0,0.5250506093695259,1.552792622645685e-12,0.47494939062891006
2020-03-18,0.07848272041661224,0,0.7131377485976919,0.2842235442742272,0.0026387071280809977
2020-03-19,0.0860550059690772,0,0.8508275407598712,0.06364081763247753,0.08553164160765171
2020-03-20,0.09283478693497987,0,0.953148401580658,0.006135132805176409,0.0407164656141546
2020-03-23,0.05241262025886465,1,0.010914597480311749,0.9890209576752432,6.444484441759158e-05
2020-03-24,0.12664131468193396,0,0.72505132460283,0.2747839783755831,0.000164697021596674
2020-03-25,0.12136195824679805,1,0.4856398746610404,0.5137425014728353,0.0006176238661117258
2020-03-26,0.050237240340532056,1,0.004940161354470846,0.9249406410598717,0.07011919758564629
2020-03-27,-0.030975194752954908,1,8.123279480202265e-06,0.9240024396999184,0.07598943702060466
2020-03-30,-0.2709210115875975,2,4.893460913048545e-09,0.11539538034873525,0.8846046147578009
2020-03-31,-0.31677628129322255,2,4.420680755466442e-15,6.726128830045882e-05,0.9999327387117217
2020-04-01,-0.33301609723953396,2,3.1720059618722045e-09,9.25831385814966e-05,0.9999074136893991
2020-04-02,-0.32307567420251965,1,0.0019539966246988516,0.6507075307479367,0.34733847262736944
2020-04-03,-0.40189258693596264,1,0.06845710051537024,0.922913637811613,0.00862926167300001
2020-04-06,-0.36426230833042866,1,0.1110104627380384,0.8840633856326306,0.00492615162931123
2020-04-07,-0.5481043941070978,1,0.37020558649491825,0.6169468193941618,0.012847594110893545
2020-04-08,-0.5266943722010828,0,0.534051198617332,0.07586374565869655,0.3900850557239736
2020-04-09,-0.628457539865981,2,0.007388876076411877,0.01522456311738174,0.9773865608062275
2020-04-13,-0.6879680440377705,2,0.001107105943400551,0.0015436695830727233,0.9973492244735368
2020-04-14,-0.6951535768172924,2,1.0164269660528653e-07,0.0008036746704773983,0.9991962236868408
2020-04-15,-0.6765828713626698,2,0.00015672362363523845,0.0006376940679828617,0.9992055823083986
2020-04-16,-0.8825899915569353,1,0.0010343273006025524,0.6570099716727489,0.3419557010266554
2020-04-17,-0.8751129631848316,1,0.03417666662159409,0.6225383587334783,0.3432849746449439
2020-04-20,-0.8603296912566826,1,0.15654211757053985,0.445591740644112,0.39786614178533525
2020-04-21,-1.0228567398677546,1,0.0577518493127181,0.6364741468169702,0.30577400387033354
2020-04-22,-0.9903992460289176,1,0.19760114810096066,0.5803470177713678,0.22205183412768015
2020-04-23,-1.086284852561854,0,0.3849388888128285,0.37520924166374114,0.23985186952343088
2020-04-24,-1.0902385688705158,1,0.33667484933715597,0.4577748546424732,0.20555029602035838
2020-04-27,-1.0920037808637646,1,0.3534601020536239,0.4615044786936878,0.1850354192527124
2020-04-28,-1.1822917258289398,1,0.2839059009775224,0.4478333401816293,0.26826075884084066
2020-04-29,-1.1946352779607528,2,0.06998470896081785,0.4295709700678042,0.5004443209713532
2020-04-30,-1.1653346630264132,2,0.10304928383620153,0.44277380704227537,0.45417690912154735
2020-05-01,-1.1440940716362877,2,0.06907009098877089,0.11089254618544576,0.8200373628257646
2020-05-04,-1.186555118256813,1,0.1584556628978526,0.47513187365400394,0.3664124634481515
2020-05-05,-1.3832560985413855,0,0.35140097825992855,0.3067185840835751,0.3418804376565141
2020-05-06,-1.4417138451663083,1,0.31848505465835975,0.4386404801874691,0.24287446515416636
2020-05-07,-1.4208385707137094,1,0.2967254448236695,0.41597663685386804,0.2872979183224533
2020-05-08,-1.406302268510125,1,0.2964249259256475,0.3623573406839493,0.34121773339040856
